랭킹,제목,가수,앨범,좋아요,좋아요차이
1,초록빛,폴킴,45258,39691
2,넘쳐흘러,엠씨더맥스,82181,76614
3,벌써 12시,청하,77393,71826
4,띵 (Prod. By 기리보이),"Jvcki Wai,영비 (Young B),Osshun Gum,한요한",51987,46420
5,180도,벤,120249,114682
6,신용재,하은 (라코스테남),82753,77186
7,SOLO,제니 (JENNIE),160442,154875
8,Home,세븐틴,32205,26638
9,너를 만나,폴킴,161664,156097
10,Love Shot,EXO,121965,116398
11,아낙네,MINO (송민호),142360,136793
12,MILLIONS,WINNER,102786,97219
13,너도 그냥 날 놓아주면 돼,윤건,43682,38115
14,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,235833,230266
15,YES or YES,TWICE (트와이스),116425,110858
16,Tempo,EXO,168102,162535
17,내 생에 아름다운,케이윌,91764,86197
18,해야 (Sunrise),여자친구 (GFRIEND),31031,25464
19,IDOL,방탄소년단,215125,209558
20,아름답고도 아프구나,비투비,121776,116209
21,흔한 이별,허각,38311,32744
22,%%(응응),Apink (에이핑크),26471,20904
23,Good to Me,세븐틴,21383,15816
24,가을 타나 봐,바이브,113148,107581
25,삐삐,아이유,204839,199272
26,숨이 차,세븐틴,19561,13994
27,포옹,세븐틴,20345,14778
28,"thank u, next",Ariana Grande,84112,78545
29,이별하러 가는 길,임한별,71976,66409
30,첫눈에,헤이즈 (Heize),51125,45558
31,Way Back Home,숀 (SHAUN),250439,244872
32,고백,양다일,98877,93310
33,칠리,세븐틴,18936,13369
34,Shhh,세븐틴,18615,13048
35,봄바람,Wanna One (워너원),125861,120294
36,열애중,벤,149192,143625
37,We all lie,하진,45414,39847
38,FAKE LOVE,방탄소년단,269403,263836
39,어쩌나,세븐틴,73409,67842
40,하루도 그대를 사랑하지 않은 적이 없었다,임창정,136510,130943
41,봄날,방탄소년단,378577,373010
42,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),"pH-1,Kid Milli,루피(Loopy)",121109,115542
43,사계 (하루살이),엠씨더맥스,22456,16889
44,라비앙로즈 (La Vie en Rose),IZ*ONE (아이즈원),80133,74566
45,너 없인 안 된다,비투비,150809,145242
46,지나오다,닐로 (Nilo),192677,187110
47,트라우마 (Trauma),EXO,67193,61626
48,I`m Fine,방탄소년단,158174,152607
49,Wait,EXO,68023,62456
50,Gravity,EXO,95996,90429
51,DNA,방탄소년단,335386,329819
52,너는 어땠을까,노을,38782,33215
53,Euphoria,방탄소년단,151875,146308
54,닿은 순간 (Ooh La La La),EXO,93334,87767
55,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,203149,197582
56,그때가 좋았어,케이시 (Kassy),19737,14170
57,알았다면,장덕철,21940,16373
58,24/7,EXO,92007,86440
59,그리워하다,비투비,219394,213827
60,Universe,EXO,185956,180389
61,Answer : Love Myself,방탄소년단,132002,126435
62,여기 있을게 (Smile On My Face),EXO,87176,81609
63,Sign,EXO,90145,84578
64,Damage,EXO,83703,78136
65,후폭풍 (Bad Dream),EXO,83591,78024
66,오아시스 (Oasis),EXO,86702,81135
67,가끔 (With You),EXO,84897,79330
68,습관 (Bad Habits),숀 (SHAUN),19219,13652
69,A-TEEN,세븐틴,84229,78662
70,아주 NICE,세븐틴,89693,84126
71,사이렌 (Siren),선미,110527,104960
72,Dance The Night Away,TWICE (트와이스),139052,133485
73,비,폴킴,184364,178797
74,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,192200,186633
75,미안해,양다일,142937,137370
76,"길 (Song by 아이유, 헨리, 조현아, 양다일)",god,25027,19460
77,밤편지,아이유,304687,299120
78,헤어지는 중,펀치 (Punch),98769,93202
79,Bohemian Rhapsody (2011 Remaster),Queen,89521,83954
80,우리 그만하자,로이킴,122158,116591
81,에너제틱 (Energetic),Wanna One (워너원),286775,281208
82,No Question,"매드클라운,스텔라장 (Stella Jang)",13691,8124
83,행복,오반,45378,39811
84,시간이 들겠지 (Feat. Colde),로꼬,97082,91515
85,이별길 (GOODBYE ROAD),iKON,84742,79175
86,가을 안부,먼데이 키즈 (Monday Kiz),126692,121125
87,IndiGO,"저스디스 (JUSTHIS),Kid Milli,NO:EL,영비 (Young B)",90331,84764
88,flex (Prod. By 기리보이),"기리보이,Kid Milli,NO:EL,스윙스",107855,102288
89,사랑을 했다 (LOVE SCENARIO),iKON,279424,273857
90,Beautiful,Wanna One (워너원),235203,229636
91,Epiphany,방탄소년단,120442,114875
92,Wind flower,마마무(Mamamoo),49905,44338
93,이별을 걷다 (A Walk To Goodbye),황치열,5567,0
94,BOOMERANG (부메랑),Wanna One (워너원),144251,138684
95,Anpanman,방탄소년단,149523,143956
96,그때 헤어지면 돼,로이킴,192150,186583
97,켜줘 (Light),Wanna One (워너원),133481,127914
98,동화 (feat. 아이유),김동률,55323,49756
99,이 마음,펀치 (Punch),7791,2224
100,그 남자를 떠나,god,15290,9723
