랭킹,제목,가수,좋아요,좋아요차이,사진
1,초록빛,폴킴,38768,31702
2,넘쳐흘러,엠씨더맥스,80431,73365
3,벌써 12시,청하,75316,68250
4,띵 (Prod. By 기리보이),"Jvcki Wai,영비 (Young B),Osshun Gum,한요한",49705,42639
5,180도,벤,119429,112363
6,신용재,하은 (라코스테남),81932,74866
7,너를 만나,폴킴,160662,153596
8,Love Shot,EXO,121477,114411
9,너도 그냥 날 놓아주면 돼,윤건,41984,34918
10,SOLO,제니 (JENNIE),160014,152948
11,아낙네,MINO (송민호),141813,134747
12,MILLIONS,WINNER,101719,94653
13,Tempo,EXO,167927,160861
14,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,235244,228178
15,해야 (Sunrise),여자친구 (GFRIEND),29370,22304
16,내 생에 아름다운,케이윌,91205,84139
17,YES or YES,TWICE (트와이스),116080,109014
18,아름답고도 아프구나,비투비,121416,114350
19,IDOL,방탄소년단,214620,207554
20,흔한 이별,허각,37846,30780
21,%%(응응),Apink (에이핑크),25698,18632
22,이별하러 가는 길,임한별,71540,64474
23,We all lie,하진,42819,35753
24,No Question,"매드클라운,스텔라장 (Stella Jang)",12085,5019
25,가을 타나 봐,바이브,112934,105868
26,고백,양다일,98555,91489
27,봄바람,Wanna One (워너원),125637,118571
28,첫눈에,헤이즈 (Heize),50703,43637
29,삐삐,아이유,204534,197468
30,트라우마 (Trauma),EXO,67058,59992
31,Wait,EXO,67853,60787
32,"thank u, next",Ariana Grande,83389,76323
33,그때가 좋았어,케이시 (Kassy),18190,11124
34,Way Back Home,숀 (SHAUN),250159,243093
35,사계 (하루살이),엠씨더맥스,21835,14769
36,FAKE LOVE,방탄소년단,269239,262173
37,Gravity,EXO,95928,88862
38,닿은 순간 (Ooh La La La),EXO,93288,86222
39,24/7,EXO,91931,84865
40,열애중,벤,148945,141879
41,Sign,EXO,90115,83049
42,봄날,방탄소년단,378298,371232
43,여기 있을게 (Smile On My Face),EXO,87120,80054
44,너 없인 안 된다,비투비,150642,143576
45,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),"pH-1,Kid Milli,루피(Loopy)",120884,113818
46,어쩌나,세븐틴,71251,64185
47,Damage,EXO,83659,76593
48,하루도 그대를 사랑하지 않은 적이 없었다,임창정,136373,129307
49,가끔 (With You),EXO,84854,77788
50,후폭풍 (Bad Dream),EXO,83558,76492
51,I`m Fine,방탄소년단,157889,150823
52,오아시스 (Oasis),EXO,86651,79585
53,그리워하다,비투비,219244,212178
54,알았다면,장덕철,21575,14509
55,행복,오반,44667,37601
56,Euphoria,방탄소년단,151541,144475
57,A-TEEN,세븐틴,81959,74893
58,Answer : Love Myself,방탄소년단,131614,124548
59,Universe,EXO,185879,178813
60,"길 (Song by 아이유, 헨리, 조현아, 양다일)",god,24084,17018
61,지나오다,닐로 (Nilo),192499,185433
62,라비앙로즈 (La Vie en Rose),IZ*ONE (아이즈원),79789,72723
63,너는 어땠을까,노을,38344,31278
64,습관 (Bad Habits),숀 (SHAUN),18702,11636
65,DNA,방탄소년단,335225,328159
66,아주 NICE,세븐틴,87430,80364
67,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,192009,184943
68,우리의 새벽은 낮보다 뜨겁다,세븐틴,37089,30023
69,비,폴킴,184026,176960
70,고맙다,세븐틴,73382,66316
71,미안해,양다일,142718,135652
72,flex (Prod. By 기리보이),"기리보이,Kid Milli,NO:EL,스윙스",107577,100511
73,Holiday,세븐틴,30057,22991
74,Epiphany,방탄소년단,120157,113091
75,에너제틱 (Energetic),Wanna One (워너원),286760,279694
76,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,203097,196031
77,IndiGO,"저스디스 (JUSTHIS),Kid Milli,NO:EL,영비 (Young B)",90110,83044
78,Beautiful,Wanna One (워너원),235193,228127
79,헤어지는 중,펀치 (Punch),98566,91500
80,BOOMERANG (부메랑),Wanna One (워너원),144210,137144
81,Anpanman,방탄소년단,149391,142325
82,이 마음,펀치 (Punch),7066,0
83,우리 그만하자,로이킴,122013,114947
84,밤편지,아이유,304435,297369
85,켜줘 (Light),Wanna One (워너원),133457,126391
86,이별길 (GOODBYE ROAD),iKON,84624,77558
87,Dance The Night Away,TWICE (트와이스),138937,131871
88,사이렌 (Siren),선미,110404,103338
89,겨울이라 이런 거면 좋겠다,먼데이 키즈 (Monday Kiz),9637,2571
90,꽃 (Prod. AVIN),HAON (김하온),10029,2963
91,나에게로 와,세븐틴,27791,20725
92,Trivia 轉 : Seesaw,방탄소년단,114614,107548
93,시간이 들겠지 (Feat. Colde),로꼬,96920,89854
94,All Night (전화해),아스트로 (ASTRO),14056,6990
95,Bohemian Rhapsody (2011 Remaster),Queen,89241,82175
96,가을 안부,먼데이 키즈 (Monday Kiz),126552,119486
97,불꽃놀이 (Flowerbomb),Wanna One (워너원),72594,65528
98,What`s Good,세븐틴,26355,19289
99,MOONWALKER,세븐틴,26767,19701
100,사랑을 했다 (LOVE SCENARIO),iKON,279318,272252
