랭킹,제목,가수,좋아요,좋아요차이
1,넘쳐흘러,엠씨더맥스,74634,73088
2,벌써 12시,청하,68681,67135
3,띵 (Prod. By 기리보이),"Jvcki Wai,영비 (Young B),Osshun Gum,한요한",41529,39983
4,180도,벤,116933,115387
5,신용재,하은 (라코스테남),79251,77705
6,SOLO,제니 (JENNIE),158573,157027
7,아낙네,MINO (송민호),140265,138719
8,MILLIONS,WINNER,98981,97435
9,Love Shot,EXO,119882,118336
10,너를 만나,폴킴,158201,156655
11,YES or YES,TWICE (트와이스),114880,113334
12,너도 그냥 날 놓아주면 돼,윤건,37639,36093
13,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,233275,231729
14,Tempo,EXO,167392,165846
15,해야 (Sunrise),여자친구 (GFRIEND),23168,21622
16,내 생에 아름다운,케이윌,89483,87937
17,아름답고도 아프구나,비투비,120194,118648
18,IDOL,방탄소년단,213228,211682
19,흔한 이별,허각,36562,35016
20,가을 타나 봐,바이브,112216,110670
21,%%(응응),Apink (에이핑크),23147,21601
22,첫눈에,헤이즈 (Heize),49479,47933
23,삐삐,아이유,203678,202132
24,이별하러 가는 길,임한별,70262,68716
25,고백,양다일,97590,96044
26,Way Back Home,숀 (SHAUN),249368,247822
27,"thank u, next",Ariana Grande,81383,79837
28,봄바람,Wanna One (워너원),125041,123495
29,이 마음,펀치 (Punch),1546,0
30,열애중,벤,148168,146622
31,사계 (하루살이),엠씨더맥스,20185,18639
32,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),"pH-1,Kid Milli,루피(Loopy)",120141,118595
33,하루도 그대를 사랑하지 않은 적이 없었다,임창정,135936,134390
34,FAKE LOVE,방탄소년단,268696,267150
35,너 없인 안 된다,비투비,150108,148562
36,트라우마 (Trauma),EXO,66593,65047
37,그리워하다,비투비,218796,217250
38,지나오다,닐로 (Nilo),192005,190459
39,라비앙로즈 (La Vie en Rose),IZ*ONE (아이즈원),78958,77412
40,봄날,방탄소년단,377394,375848
41,Wait,EXO,67421,65875
42,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,202811,201265
43,습관 (Bad Habits),숀 (SHAUN),17203,15657
44,"길 (Song by 아이유, 헨리, 조현아, 양다일)",god,20651,19105
45,Gravity,EXO,95751,94205
46,닿은 순간 (Ooh La La La),EXO,93135,91589
47,I`m Fine,방탄소년단,157113,155567
48,알았다면,장덕철,20486,18940
49,We all lie,하진,35314,33768
50,너는 어땠을까,노을,37148,35602
51,24/7,EXO,91768,90222
52,사이렌 (Siren),선미,109998,108452
53,DNA,방탄소년단,334756,333210
54,Sign,EXO,90002,88456
55,Bohemian Rhapsody (2011 Remaster),Queen,88252,86706
56,행복,오반 (OVAN),42800,41254
57,여기 있을게 (Smile On My Face),EXO,87010,85464
58,Damage,EXO,83563,82017
59,미안해,양다일,142028,140482
60,Universe,EXO,185707,184161
61,가끔 (With You),EXO,84762,83216
62,Dance The Night Away,TWICE (트와이스),138570,137024
63,오아시스 (Oasis),EXO,86547,85001
64,IndiGO,"저스디스 (JUSTHIS),Kid Milli,NO:EL,영비 (Young B)",89408,87862
65,Euphoria,방탄소년단,150750,149204
66,후폭풍 (Bad Dream),EXO,83490,81944
67,flex (Prod. By 기리보이),"기리보이,Kid Milli,NO:EL,스윙스",106639,105093
68,이별길 (GOODBYE ROAD),iKON,84253,82707
69,헤어지는 중,펀치 (Punch),98020,96474
70,밤편지,아이유,303788,302242
71,우리 그만하자,로이킴,121570,120024
72,Answer : Love Myself,방탄소년단,130574,129028
73,비,폴킴,183032,181486
74,시간이 들겠지 (Feat. Colde),로꼬,96425,94879
75,에너제틱 (Energetic),Wanna One (워너원),286608,285062
76,가을 안부,먼데이 키즈 (Monday Kiz),126061,124515
77,Wind flower,마마무(Mamamoo),48832,47286
78,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,191458,189912
79,Beautiful,Wanna One (워너원),235123,233577
80,사랑을 했다 (LOVE SCENARIO),iKON,278937,277391
81,BOOMERANG (부메랑),Wanna One (워너원),144049,142503
82,겨울이라 이런 거면 좋겠다,먼데이 키즈 (Monday Kiz),8650,7104
83,켜줘 (Light),Wanna One (워너원),133350,131804
84,동화 (feat. 아이유),김동률,54940,53394
85,그때가 좋았어,케이시 (Kassy),14468,12922
86,그때 헤어지면 돼,로이킴,191464,189918
87,Epiphany,방탄소년단,119521,117975
88,Snowman (삼성 갤럭시 노트 9 광고 삽입곡),Sia,74290,72744
89,그 남자를 떠나,god,13658,12112
90,꿈처럼 내린,다비치,37713,36167
91,All Night (전화해),아스트로 (ASTRO),7831,6285
92,멋지게 인사하는 법 (Feat. 슬기 of Red Velvet),Zion.T,81338,79792
93,YA,이민혁 (HUTA),14916,13370
94,Anpanman,방탄소년단,148969,147423
95,불꽃놀이 (Flowerbomb),Wanna One (워너원),72337,70791
96,RBB (Really Bad Boy),Red Velvet (레드벨벳),55155,53609
97,I`M OK,iKON,23529,21983
98,술래,Wanna One (워너원),69473,67927
99,수퍼비와 (Feat. BewhY) (Prod. BewhY),SUPERBEE,50029,48483
100,집,Wanna One (워너원),71798,70252
